label,events_per_second_ratio,idle_ratio,brainrot_ratio,productive_ratio,keyboard_to_scroll_ratio,event_rate_variance,scroll_direction_changes
focused,7.391666666666667,0.004509582863585118,0.3664036076662909,0.0,0.02564102554383081,10755.238095238095,71
focused,2.7083333333333335,0.003076923076923077,1.0,0.0,0.03804347819367321,4854.839285714285,57
focused,8.8,0.000946969696969697,0.4876893939393939,0.3333333333333333,0.05263157602216083,20196.7,5
focused,45.025,0.00037016472330186933,0.1158615583934851,0.8491578752544883,0.00024813895748369857,287195.5,1216
focused,41.983333333333334,0.0009924573243350536,0.06232631996824137,0.9376736800317587,0.0006816632575700479,303013.64285714284,1321
focused,5.758333333333334,0.005788712011577424,0.2937771345875543,0.7062228654124457,0.007692307678678502,33210.916666666664,110
focused,5.133333333333334,0.0,0.25487012987012986,0.7451298701298701,0.0823045265403309,37234.33333333333,86
focused,15.125,0.0005509641873278236,0.08650137741046832,0.7961432506887053,0.14814814759487882,23176.57142857143,134
focused,19.916666666666668,0.0008368200836820083,0.0,0.7175732217573222,0.25797872176444375,15242.527777777777,62
focused,19.1,0.0013089005235602095,0.04712041884816754,0.7417102966841187,0.13589743509877714,70644.0,88
focused,17.658333333333335,0.002831524303916942,0.07692307692307693,0.9126946672958943,0.13133640488870543,57346.277777777774,94
focused,13.133333333333333,0.0038071065989847717,0.0983502538071066,0.809010152284264,0.22916666541261577,34174.86111111111,44
focused,18.608333333333334,0.004030452306314375,0.0483654276757725,0.7608598298253471,0.04248704653380977,30711.111111111113,215
focused,35.63333333333333,0.0018709073900841909,0.015902712815715623,0.9186155285313377,0.017589576498232555,67059.61111111111,298
focused,31.466666666666665,0.001059322033898305,0.04051906779661017,0.9594809322033898,0.002044989769787402,91903.2777777778,298
focused,11.625,0.0035842293906810036,0.11182795698924732,0.8881720430107527,0.0034682080868923123,41333.5,202
focused,11.858333333333333,0.0028109627547434997,0.30428671820098385,0.6957132817990161,0.02096774188735952,48009.36111111111,174
focused,14.066666666666666,0.0017772511848341231,0.5035545023696683,0.4934834123222749,0.01724137927174609,41525.27777777778,228
focused,9.441666666666666,0.00264783759929391,0.9955869373345102,0.0,0.01954397390530404,4009.861111111111,188
focused,7.733333333333333,0.0010775862068965517,1.0,0.0,0.04868913849216569,505.8666666666666,150
focused,2.3333333333333335,0.0,1.0,0.0,0.12781954860308667,450.0,26
focused,3.1666666666666665,0.0,1.0,0.0,0.0,3566.333333333333,26
focused,3.1666666666666665,0.0,1.0,0.0,0.0,3566.333333333333,26
focused,5.208333333333333,0.0016,1.0,0.0,0.062499999825613835,3116.5,40
focused,8.066666666666666,0.0010330578512396695,0.7210743801652892,0.27892561983471076,0.02916666660784722,2171.0666666666666,86
focused,6.133333333333334,0.002717391304347826,0.15081521739130435,0.8233695652173914,0.16363636327140496,6672.694444444444,58
focused,4.225,0.0019723865877712033,0.0,0.9625246548323472,0.25471698052291736,3235.8,38
focused,4.691666666666666,0.003552397868561279,0.0,0.8419182948490231,0.15050167195741657,6027.027777777778,48
focused,6.766666666666667,0.0012315270935960591,0.0,0.39655172413793105,0.2252964419646612,3045.4666666666667,44
focused,6.1,0.001366120218579235,0.0,0.0,0.0406779660007584,5861.285714285715,50
focused,3.433333333333333,0.0024271844660194173,0.0,0.0,0.00985221672877284,5264.0,28
focused,5.683333333333334,0.002932551319648094,0.0,0.0,0.04433497522051008,3480.2666666666673,36
